time,vehicle_id,x,y,z,speed,lon,lat
10,0_55,299.89,4699.03,59,0,9.720193762,52.36802738
10.1,0_55,299.87,4699.02,59,0.25,9.720193582,52.36802733
10.2,0_55,299.83,4698.99,59,0.51,9.720193223,52.36802716
10.3,0_55,299.76,4698.95,59,0.76,9.720192594,52.36802694
10.4,0_55,299.68,4698.9,59,1.02,9.720191876,52.36802667
10.5,0_55,299.57,4698.83,59,1.26,9.720190887,52.36802629
10.6,0_55,299.44,4698.75,59,1.47,9.72018972,52.36802585
10.7,0_55,299.3,4698.66,59,1.7,9.720188462,52.36802535
10.8,0_55,299.13,4698.56,59,1.96,9.720186935,52.3680248
10.9,0_55,298.95,4698.44,59,2.18,9.720185318,52.36802415
11,0_55,298.74,4698.32,59,2.42,9.720183431,52.36802349
11.1,0_55,298.53,4698.18,59,2.55,9.720181545,52.36802272
11.2,0_55,298.3,4698.04,59,2.68,9.720179479,52.36802195
11.3,0_55,298.05,4697.89,59,2.89,9.720177233,52.36802113
11.4,0_55,297.8,4697.72,59,3.05,9.720174987,52.3680202
11.5,0_55,297.52,4697.55,59,3.21,9.720172472,52.36801926
11.6,0_55,297.23,4697.37,59,3.43,9.720169867,52.36801828
11.7,0_55,296.93,4697.18,59,3.6,9.720167172,52.36801723
11.8,0_55,296.6,4696.98,59,3.81,9.720164207,52.36801614
11.9,0_55,296.26,4696.77,59,4.03,9.720161153,52.36801499
12,0_55,295.9,4696.54,59,4.24,9.720157919,52.36801372
12.1,0_55,295.52,4696.31,59,4.45,9.720154506,52.36801246
12.2,0_55,295.13,4696.06,59,4.69,9.720151002,52.36801109
12.3,0_55,294.71,4695.8,59,4.91,9.720147229,52.36800967
12.4,0_55,294.28,4695.53,59,5.09,9.720143367,52.36800818
12.5,0_55,293.83,4695.25,59,5.33,9.720139324,52.36800665
12.6,0_55,293.36,4694.96,59,5.46,9.720135102,52.36800506
12.7,0_55,292.89,4694.66,59,5.6,9.72013088,52.36800341
12.8,0_55,292.39,4694.35,59,5.85,9.720126388,52.36800171
12.9,0_55,291.88,4694.04,59,5.99,9.720121807,52.36800001
13,0_55,291.36,4693.71,59,6.21,9.720117136,52.3679982
13.1,0_55,290.81,4693.37,59,6.4,9.720112195,52.36799634
13.2,0_55,290.25,4693.02,59,6.63,9.720107164,52.36799442
13.3,0_55,289.67,4692.66,59,6.85,9.720101954,52.36799244
13.4,0_55,289.07,4692.28,59,7.04,9.720096564,52.36799036
13.5,0_55,288.67,4691.72,59,7.18,9.720092971,52.36798729
13.6,0_55,288.34,4691.05,59,7.44,9.720090007,52.36798361
13.7,0_55,288.01,4690.37,59,7.61,9.720087042,52.36797988
13.8,0_55,287.66,4689.66,59,7.83,9.720083898,52.36797599
13.9,0_55,287.31,4688.94,59,8.04,9.720080754,52.36797204
14,0_55,286.95,4688.2,59,8.22,9.72007752,52.36796798
14.1,0_55,286.58,4687.45,59,8.41,9.720074196,52.36796387
14.2,0_55,286.2,4686.68,59,8.57,9.720070783,52.36795964
14.3,0_55,285.82,4685.89,59,8.76,9.720067369,52.36795531
14.4,0_55,285.43,4685.08,59,8.97,9.720063866,52.36795087
14.5,0_55,285.03,4684.26,59,9.11,9.720060272,52.36794637
14.6,0_55,284.61,4683.42,59,9.36,9.720056499,52.36794176
14.7,0_55,284.2,4682.57,59,9.54,9.720052816,52.3679371
14.8,0_55,283.77,4681.69,59,9.78,9.720048954,52.36793227
14.9,0_55,283.33,4680.79,59,9.95,9.720045001,52.36792734
15,0_55,282.88,4679.88,59,10.21,9.720040959,52.36792234
